"STATION","NAME","DATE","AWND","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT05","WT06","WT07","WT08"
"USW00023047","AMARILLO AIRPORT, TX US","2018-01-01","9.17",,"0.00",,"0.0","0.0","11","21","4",,"  140","  140","18.1","21.9",,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2018-01-02","9.62",,"0.00",,"0.0","0.0","13","30","2",,"  150","  150","16.1","19.9",,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2018-01-03","8.95",,"0.00",,"0.0","0.0","29","53","14",,"  180","  180","16.1","19.0",,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2018-01-04","9.17",,"0.00",,"0.0","0.0","35","52","23",,"  190","  190","18.1","23.0",,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2018-01-05","7.61",,"0.00",,"0.0","0.0","35","57","22",,"  140","  300","12.1","13.0",,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2018-01-06","13.42",,"0.00",,"0.0","0.0","37","57","22",,"  180","  190","23.9","29.1",,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2018-01-07","13.42",,"0.00",,"0.0","0.0","49","57","33",,"  340","  350","31.1","40.0",,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2018-01-08","10.51",,"0.00",,"0.0","0.0","42","61","28",,"  190","  190","23.0","27.1",,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2018-01-09","13.65",,"0.00",,"0.0","0.0","54","76","42",,"  190","  190","25.1","30.0",,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2018-01-10","15.21",,"0.00",,"0.0","0.0","58","73","42",,"  220","  230","32.0","40.0",,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2018-01-11","21.25",,"0.00",,"0.0","0.0","41","50","19",,"  350","  350","45.0","57.0",,,,,,,"    1"
