"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT08"
"USW00012924","CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US","2018-01-01","16.78",,"0.00","0.0","0.0","37","37","32","   10","  360","25.9","32.0","    1",,,,
"USW00012924","CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US","2018-01-02","15.43",,"0.00","0.0","0.0","35","39","31","  360","  360","23.9","29.1","    1",,,,
"USW00012924","CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US","2018-01-03","10.74",,"0.00","0.0","0.0","36","52","27","  360","  360","23.0","29.1",,,,,
"USW00012924","CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US","2018-01-04","5.14",,"0.00","0.0","0.0","42","59","29","   90","   90","12.1","14.1",,,,,
"USW00012924","CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US","2018-01-05","8.28",,"0.00","0.0","0.0","50","62","41","   90","   80","14.1","17.0",,,,,"    1"
"USW00012924","CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US","2018-01-06","8.28",,"0.00","0.0","0.0","55","69","46","   90","   90","16.1","19.9","    1",,,,"    1"
"USW00012924","CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US","2018-01-07","14.32",,"0.00","0.0","0.0","62","73","54","  160","  160","32.0","38.0","    1",,,,
"USW00012924","CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US","2018-01-08","12.53",,"0.00","0.0","0.0","62","73","47","  340","  330","25.1","29.1",,,,,
"USW00012924","CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US","2018-01-09","6.93",,"0.00","0.0","0.0","53","66","40","  110","  110","13.0","14.1","    1",,,,
"USW00012924","CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US","2018-01-10","12.53",,"0.00","0.0","0.0","57","75","43","  150","  150","30.0","35.1","    1","    1",,,
"USW00012924","CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US","2018-01-11","16.78",,"0.00","0.0","0.0","67","82","49","  330","  330","44.1","52.1",,,,,
"USW00012924","CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US","2018-01-12","13.42",,"0.00","0.0","0.0","53","64","42","  340","  330","25.1","30.0",,,,,"    1"
"USW00012924","CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US","2018-01-13","11.18",,"0.00","0.0","0.0","47","58","36","   40","   50","23.0","29.1",,,,,"    1"
"USW00012924","CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US","2018-01-14","9.62",,"0.00","0.0","0.0","50","68","39","  130","  110","18.1","25.9",,,,,
"USW00012924","CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US","2018-01-15","11.18",,"0.00","0.0","0.0","58","74","45","  160","  150","23.9","29.1",,,,,
"USW00012924","CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US","2018-01-16","20.36",,"0.27","0.0","0.0","45","63","28","   10","   10","36.9","42.9","    1",,,,
"USW00012924","CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US","2018-01-17","12.53",,"0.00","0.0","0.0","31","36","28","   10","  360","23.0","29.1",,,,,
"USW00012924","CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US","2018-01-18","12.30",,"0.00","0.0","0.0","38","47","35","   10","   30","16.1","21.9",,,,,
"USW00012924","CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US","2018-01-19","7.16",,"0.06","0.0","0.0","44","50","40","  360","  360","14.1","17.0","    1",,,,
"USW00012924","CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US","2018-01-20","6.04",,"0.01","0.0","0.0","56","74","50","  180","  190","21.9","25.1","    1","    1",,,
"USW00012924","CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US","2018-01-21","17.90",,"0.00","0.0","0.0","67","76","61","  170","  170","36.0","42.9","    1",,,,
"USW00012924","CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US","2018-01-22","11.63",,"0.00","0.0","0.0","65","73","50","  330","  330","23.9","30.0","    1",,,,
"USW00012924","CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US","2018-01-23","6.04"," 1525","0.00","0.0","0.0","54","67","35","  120","  110","14.1","19.0",,,,,
"USW00012924","CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US","2018-01-24","8.95"," 1136","0.00","0.0","0.0","55","64","41","   40","   40","16.1","19.0",,,,,
"USW00012924","CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US","2018-01-25","9.40"," 1115","0.02","0.0","0.0","51","62","39","   80","   80","17.0","21.0",,,,,
"USW00012924","CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US","2018-01-26","11.41"," 1345","0.00","0.0","0.0","62","75","56","  140","  140","23.9","28.0",,,,,
"USW00012924","CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US","2018-01-27","6.71"," 2113","0.88","0.0","0.0","66","69","62","   10","   40","16.1","19.0",,,,,
"USW00012924","CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US","2018-01-28","8.50"," 0302","0.03","0.0","0.0","64","71","49","   10","   10","16.1","19.0",,,,,
"USW00012924","CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US","2018-01-29","10.74"," 1506","0.00","0.0","0.0","57","75","43","   30","   20","18.1","23.0",,,,,
"USW00012924","CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US","2018-01-30","10.07"," 0154","0.00","0.0","0.0","55","63","45","   40","   40","17.0","21.0",,,,,
"USW00012924","CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US","2018-01-31","12.30"," 1500","0.00","0.0","0.0","56","72","44","  150","  140","21.9","28.0",,,,,
"USW00012924","CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US","2018-02-01","10.51",,"0.00","0.0","0.0","64","82","53","   20","   20","21.0","25.1","    1",,,,
"USW00012924","CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US","2018-02-02","14.99",,"0.00","0.0","0.0","61","64","53","   20","   10","23.0","29.1",,,,,
"USW00012924","CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US","2018-02-03","8.50",,"0.00","0.0","0.0","57","69","52","   40","   50","15.0","19.0","    1","    1",,,
"USW00012924","CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US","2018-02-04","6.49",,"0.00","0.0","0.0","64","80","56","   50","   50","17.0","19.9","    1","    1",,,
"USW00012924","CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US","2018-02-05","12.08",,"0.00","0.0","0.0","62","64","59","   60","   60","21.9","28.0","    1",,,,"    1"
"USW00012924","CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US","2018-02-06","14.32",,"0.05","0.0","0.0","67","76","63","  150","  150","29.1","34.0","    1","    1",,,
"USW00012924","CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US","2018-02-07","16.33",,"0.00","0.0","0.0","57","70","42","   30","   40","28.0","34.0","    1",,,,
