"STATION","NAME","DATE","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-01-01","11.41","0.00","0.0","0.0","24","30","17","   40","   20","18.1","23.9",,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-01-02","8.05","0.00","0.0","0.0","25","28","21","  340","  350","14.1","16.1",,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-01-03","7.61","0.00","0.0","0.0","31","50","19","  330","  310","15.0","19.0",,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-01-04","3.36","0.00","0.0","0.0","39","51","27","   70","   80","8.1","12.1",,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-01-05","6.26","0.00","0.0","0.0","44","64","31","  200","  200","16.1","19.0",,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-01-06","9.84","0.00","0.0","0.0","49","66","34","  190","  150","19.9","23.9",,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-01-07","14.76","0.18","0.0","0.0","57","62","53","  170","  170","23.0","33.1","    1",,"    1",,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-01-08","10.29","0.00","0.0","0.0","53","61","41","  360","  330","18.1","23.9","    1",,,,,,,"    1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-01-09","8.28","0.00","0.0","0.0","46","54","37","  150","  160","17.0","21.0","    1","    1",,,,,,"    1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-01-10","15.21","0.00","0.0","0.0","50","60","47","  170","  170","25.1","33.1","    1",,,,,,,"    1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-01-11","21.92","0.00","0.0","0.0","53","62","31","  330","  320","36.9","47.0","    1",,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-01-12","14.32","0.00","0.0","0.0","33","45","24","  340","  330","35.1","40.0",,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-01-13","8.72","0.00","0.0","0.0","36","48","27","  360","  350","17.0","19.9",,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-01-14","7.61","0.00","0.0","0.0","40","57","28","  200","  190","19.9","23.9",,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-01-15","15.66","0.00","0.0","0.0","47","59","30","   10","  360","32.0","40.0",,,,"    1",,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-01-16","16.55","0.00","0.0","0.0","29","32","19","  350","  360","28.0","32.0",,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-01-17","3.58","0.00","0.0","0.0","23","37","13","  190","  230","8.9","10.1",,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-01-18","9.17","0.00","0.0","0.0","30","48","18","  180","  190","17.0","19.0",,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-01-19","14.32","0.00","0.0","0.0","44","58","37","  190","  200","25.1","32.0",,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-01-20","18.57","0.03","0.0","0.0","60","73","53","  200","  200","28.0","35.1","    1",,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-01-21","18.34","0.56","0.0","0.0","67","77","59","  240","  250","35.1","42.1","    1",,"    1",,,,,"    1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-01-22","16.78","0.00","0.0","0.0","57","62","45","  300","  310","31.1","38.9",,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-01-23","7.83","0.00","0.0","0.0","49","61","34","  350","  330","15.0","19.0",,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-01-24","3.36","0.00","0.0","0.0","48","64","32","  180","  180","14.1","16.1",,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-01-25","11.63","0.00","0.0","0.0","51","69","35","  180","  170","21.9","27.1",,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-01-26","12.75","0.02","0.0","0.0","56","66","51","  180","  180","21.0","23.9",,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-01-27","11.41","0.06","0.0","0.0","62","67","46","  360","   10","21.0","25.1","    1",,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-01-28","7.16","0.00","0.0","0.0","51","67","37","   20","   20","13.0","16.1",,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-01-29","12.08","0.00","0.0","0.0","49","57","38","  360","  350","21.0","25.1",,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-01-30","12.53","0.00","0.0","0.0","46","66","33","  190","  170","25.1","31.1",,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-01-31","19.24","0.00","0.0","0.0","58","77","45","  210","  220","32.0","40.0",,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-02-01","16.33","0.00","0.0","0.0","59","65","44","   10","   20","29.1","35.1",,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-02-02","9.62","0.00","0.0","0.0","45","55","34","   10","   20","21.0","25.9",,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-02-03","13.65","0.00","0.0","0.0","49","60","40","  180","  190","29.1","34.0",,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-02-04","11.41","0.00","0.0","0.0","56","67","36","   20","   20","31.1","40.9","    1",,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-02-05","6.71","0.00","0.0","0.0","36","47","25","   10","  360","18.1","21.9",,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-02-06","11.86","0.27","0.0","0.0","40","44","33","  350","  330","21.9","23.9","    1",,"    1",,,"    1",,"    1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-02-07","12.08","0.00","0.0","0.0","36","50","31","  350","  360","23.0","28.0","    1",,,,,"    1",,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-02-08","4.25","0.00","0.0","0.0","43","62","30","  140","  160","10.1","13.0",,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-02-09","12.97","0.00","0.0","0.0","55","73","42","  190","  190","29.1","32.0",,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-02-10","14.09","0.00","0.0","0.0","49","61","32","  330","  330","23.0","28.0","    1",,,,,"    1",,"    1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-02-11","13.42","0.00","0.0","0.0","33","44","27","  350","  350","23.0","27.1",,,,"    1",,"    1",,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-02-12","8.28","0.00","0.0","0.0","35","48","27","  130","   60","14.1","19.9",,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-02-13","6.26","0.00","0.0","0.0","44","48","41","  140","  140","17.0","19.9","    1",,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-02-14","11.18","0.01","0.0","0.0","54","79","45","  180","  170","23.0","29.1","    1",,,,,,,"    1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-02-15","20.36","0.00","0.0","0.0","71","82","65","  190","  180","30.0","36.9",,,,,,,,
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2018-02-16","15.88","0.00","0.0","0.0","64","71","47","  340","  340","30.0","36.0",,,,,,,,
