"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT07","WT08"
"USW00023044","EL PASO INTERNATIONAL AIRPORT, TX US","2018-01-01","5.14",,"0.00","0.0","0.0","39","46","27","  140","  140","14.1","17.0",,,,,,,
"USW00023044","EL PASO INTERNATIONAL AIRPORT, TX US","2018-01-02","5.14",,"0.00","0.0","0.0","40","57","30","  110","   80","13.0","16.1",,,,,,,
"USW00023044","EL PASO INTERNATIONAL AIRPORT, TX US","2018-01-03","3.80",,"0.00","0.0","0.0","40","56","24","   80","  130","8.9","13.0",,,,,,,
"USW00023044","EL PASO INTERNATIONAL AIRPORT, TX US","2018-01-04","5.59",,"0.00","0.0","0.0","45","53","37","  170","  180","13.0","16.1",,,,,,,
"USW00023044","EL PASO INTERNATIONAL AIRPORT, TX US","2018-01-05","4.25",,"0.00","0.0","0.0","44","64","32","  260","  260","12.1","15.0",,,,,,,
"USW00023044","EL PASO INTERNATIONAL AIRPORT, TX US","2018-01-06","5.82",,"0.00","0.0","0.0","47","66","35","  220","  200","13.0","15.0",,,,,,,
"USW00023044","EL PASO INTERNATIONAL AIRPORT, TX US","2018-01-07","10.51",,"0.00","0.0","0.0","60","69","47","  260","  260","28.0","36.0",,,,,,,
"USW00023044","EL PASO INTERNATIONAL AIRPORT, TX US","2018-01-08","3.80",,"0.00","0.0","0.0","51","66","32","   30","   30","12.1","13.0",,,,,,,
"USW00023044","EL PASO INTERNATIONAL AIRPORT, TX US","2018-01-09","4.03",,"0.00","0.0","0.0","52","69","39","  150","  200","8.9","11.0",,,,,,,"    1"
"USW00023044","EL PASO INTERNATIONAL AIRPORT, TX US","2018-01-10","23.04",,"0.10","0.0","0.0","55","60","47","  270","  270","48.1","61.1",,,,,,,
"USW00023044","EL PASO INTERNATIONAL AIRPORT, TX US","2018-01-11","11.41",,"0.00","0.0","0.0","53","61","39","  260","  260","44.1","52.1",,,,,,,
"USW00023044","EL PASO INTERNATIONAL AIRPORT, TX US","2018-01-12","4.03",,"0.00","0.0","0.0","46","64","33","  200","  200","14.1","16.1",,,,,,,
"USW00023044","EL PASO INTERNATIONAL AIRPORT, TX US","2018-01-13","5.82",,"0.00","0.0","0.0","50","64","40","  360","  360","18.1","23.0",,,,,,,
"USW00023044","EL PASO INTERNATIONAL AIRPORT, TX US","2018-01-14","4.92",,"0.00","0.0","0.0","48","65","33","  360","  350","12.1","14.1",,,,,,,
"USW00023044","EL PASO INTERNATIONAL AIRPORT, TX US","2018-01-15","5.59",,"0.00","0.0","0.0","47","63","32","   80","   80","23.0","29.1",,,,,,,"    1"
"USW00023044","EL PASO INTERNATIONAL AIRPORT, TX US","2018-01-16","8.50",,"0.00","0.0","0.0","35","37","27","   80","   70","18.1","23.9",,,,,,,
"USW00023044","EL PASO INTERNATIONAL AIRPORT, TX US","2018-01-17","4.70",,"0.00","0.0","0.0","31","43","21","   30","   20","8.9","12.1",,,,,,,
"USW00023044","EL PASO INTERNATIONAL AIRPORT, TX US","2018-01-18","4.92",,"0.00","0.0","0.0","38","55","25","   20","   10","8.9","11.0",,,,,,,
"USW00023044","EL PASO INTERNATIONAL AIRPORT, TX US","2018-01-19","5.37",,"0.00","0.0","0.0","42","64","26","  240","  240","15.0","19.9",,,,,,,
"USW00023044","EL PASO INTERNATIONAL AIRPORT, TX US","2018-01-20","6.93",,"0.00","0.0","0.0","51","70","33","  250","  250","21.9","25.1",,,,,,,"    1"
"USW00023044","EL PASO INTERNATIONAL AIRPORT, TX US","2018-01-21","19.24",,"0.00","0.0","0.0","52","56","39","  270","  270","36.9","47.0",,,,,,,
"USW00023044","EL PASO INTERNATIONAL AIRPORT, TX US","2018-01-22","6.04",,"0.00","0.0","0.0","42","52","26","   10","   20","16.1","19.0",,,,,,,"    1"
"USW00023044","EL PASO INTERNATIONAL AIRPORT, TX US","2018-01-23","8.72"," 0726","0.00","0.0","0.0","40","57","27","   10","   10","17.0","19.9",,,,,,,
"USW00023044","EL PASO INTERNATIONAL AIRPORT, TX US","2018-01-24","8.72"," 0948","0.00","0.0","0.0","44","60","32","  360","  350","16.1","18.1",,,,,,,
"USW00023044","EL PASO INTERNATIONAL AIRPORT, TX US","2018-01-25","5.14"," 1606","0.00","0.0","0.0","44","62","29","  190","  180","10.1","13.0",,,,,,,
"USW00023044","EL PASO INTERNATIONAL AIRPORT, TX US","2018-01-26","10.96"," 1548","0.00","0.0","0.0","51","66","40","  260","  260","23.9","29.1",,,,,,,
"USW00023044","EL PASO INTERNATIONAL AIRPORT, TX US","2018-01-27","7.61"," 0001","0.00","0.0","0.0","51","61","39","   10","  350","17.0","21.9",,,,,,,
"USW00023044","EL PASO INTERNATIONAL AIRPORT, TX US","2018-01-28","5.82"," 0341","0.00","0.0","0.0","46","63","31","   20","   20","16.1","17.0",,,,,,,
"USW00023044","EL PASO INTERNATIONAL AIRPORT, TX US","2018-01-29","6.71"," 1124","0.00","0.0","0.0","49","65","35","  150","  150","18.1","21.9",,,,,,,
"USW00023044","EL PASO INTERNATIONAL AIRPORT, TX US","2018-01-30","3.58"," 1500","0.00","0.0","0.0","49","67","29","   30","  180","8.9","10.1",,,,,,,
"USW00023044","EL PASO INTERNATIONAL AIRPORT, TX US","2018-01-31","6.93"," 1408","0.00","0.0","0.0","51","71","32","  260","  260","21.9","25.1",,,,,,,
"USW00023044","EL PASO INTERNATIONAL AIRPORT, TX US","2018-02-01","5.14"," 0303","0.00","0.0","0.0","59","74","38","  290","  260","18.1","28.0",,,,,,,
"USW00023044","EL PASO INTERNATIONAL AIRPORT, TX US","2018-02-02","5.59"," 1732","0.00","0.0","0.0","52","65","39","  180","  180","12.1","14.1",,,,,,,
"USW00023044","EL PASO INTERNATIONAL AIRPORT, TX US","2018-02-03","11.63"," 2058","0.00","0.0","0.0","59","74","50","  290","  290","28.0","33.1",,,,,,,
"USW00023044","EL PASO INTERNATIONAL AIRPORT, TX US","2018-02-04","6.71"," 1412","0.00","0.0","0.0","61","74","41","  250","  250","17.0","19.9",,,,,,,
"USW00023044","EL PASO INTERNATIONAL AIRPORT, TX US","2018-02-05","9.84"," 1400","0.00","0.0","0.0","60","76","48","  260","  240","28.0","33.1",,,,,,,
"USW00023044","EL PASO INTERNATIONAL AIRPORT, TX US","2018-02-06","12.53"," 2334","0.00","0.0","0.0","63","73","47","  270","   10","28.0","33.1",,,,,,,
"USW00023044","EL PASO INTERNATIONAL AIRPORT, TX US","2018-02-07","7.38"," 0011","0.00","0.0","0.0","58","66","42","   20","   10","21.9","28.0",,,,,,,
"USW00023044","EL PASO INTERNATIONAL AIRPORT, TX US","2018-02-08","3.58"," 1219","0.00","0.0","0.0","51","69","31","  270","  170","6.9","10.1",,,,,,,
"USW00023044","EL PASO INTERNATIONAL AIRPORT, TX US","2018-02-09","4.47"," 2213","0.00","0.0","0.0","53","74","33","  190","  200","13.0","16.1",,,,,,,
